#V_d [V]    W_rms [V]
0.0         0.447
0.1         0.475
0.2         0.528
0.3         0.588
0.4         0.650
0.5         0.698
0.6         0.719
0.7         0.740
0.8         0.764
0.9         0.789
1.0         0.814
1.1         0.840
1.2         0.853
1.3         0.848
1.4         0.837
1.5         0.822
1.6         0.804
1.7         0.787
1.8         0.772
1.9         0.756
2.0         0.740
2.1         0.736
